,lexid,street_name,city,state,zip
931,931,48877 Vanessa Park Apt. 280,West Ronaldmouth,NO,61657
932,932,673 Robin Islands,Port Sheenafort,BD,17758
933,933,57006 Michael Walk Apt. 842,Port Jonathanfort,CM,6328
934,934,3815 Kim Mews Apt. 534,Caldwellburgh,CL,78081
935,935,3641 Gregory Estates Suite 118,South Christinetown,LR,71224
936,936,32023 Ashley Walk Suite 468,Lake Paulborough,FI,70989
937,937,8088 Mills Gardens Suite 441,Cabreraview,NO,60637
938,938,483 Alicia View Suite 101,West David,PA,98535
939,939,918 Cunningham Flat,Kelleymouth,HT,20619
940,940,34246 Melissa Rapid Apt. 872,Pamelaland,KP,31381
941,941,08810 Gilbert Lane Apt. 682,Jenniferborough,IQ,40351
942,942,26593 Snyder Roads,Hoffmanchester,NR,48231
943,943,0343 Ward Ridges,Bobbyshire,BZ,57134
944,944,29893 Holly Tunnel,New Samuel,ZM,74062
945,945,59458 Kenneth Tunnel Apt. 123,North Melinda,HN,49472
946,946,65498 Melissa Way,Scottchester,TT,78437
947,947,9145 Christopher Mill Suite 843,West Laura,SN,2116
948,948,15902 Clark Springs,Jamesland,PH,91018
949,949,27953 Beverly Squares Suite 299,Roybury,PE,23656
950,950,02230 Bruce Grove,West Scott,VC,69542
951,951,27929 Gina Port,North Feliciamouth,RS,32454
952,952,87306 Leslie Forge Apt. 261,West Christopher,ET,9698
953,953,14858 Wilson Creek,Kanemouth,NG,42807
954,954,04685 Bell Shore,New Karenmouth,NA,2411
955,955,61520 Shaw Pines,East Anthony,VE,17792
956,956,77818 Justin Brooks,Thompsonmouth,SE,51488
957,957,201 Walls Drives Apt. 209,West Juliabury,ZW,35362
958,958,29604 Wolfe Terrace Suite 243,Petermouth,TW,67103
959,959,6568 Vazquez Mountain,East Donna,KH,27952
960,960,63694 Harrison Tunnel,West Andrew,KG,43364
961,961,500 Jeffrey Trail Apt. 950,New Jacobville,BG,77495
962,962,62535 Torres Terrace,North Tiffany,TH,59762
963,963,6790 Lara Island Apt. 963,Derekville,CA,91630
964,964,90407 James Courts,Brownside,UZ,37479
965,965,421 Jennifer Lake Suite 676,Johnside,ZM,10932
966,966,59459 Jill View,West Philipview,AO,46592
967,967,3823 Olivia Glens,Lake Tonya,TL,66639
968,968,112 Kristi Course Suite 457,West Amanda,SZ,13477
969,969,277 Delgado Village,New Jason,BN,3592
970,970,949 Shaw Oval Apt. 244,Loriside,SO,94173
971,971,332 Cross Plain Apt. 176,Millsfurt,KN,64858
972,972,5084 Samuel Lodge Apt. 032,Jacobborough,KN,98674
973,973,7843 Heather Branch,Kellyborough,HT,28052
974,974,16113 White Locks Suite 354,Cynthiaport,MN,62427
975,975,8454 Danielle Forges Suite 373,West Jennifer,AD,7415
976,976,05998 Powers Flat,Woodschester,ZA,46194
977,977,41135 Rios Squares Apt. 598,Nguyenfort,VE,24514
978,978,8718 Danielle Keys,Port Kevin,PY,86590
979,979,120 Deborah Orchard Apt. 710,Donnafurt,ES,80627
980,980,8611 Wyatt Groves,Amandaview,PL,91879
981,981,036 Munoz Villages Apt. 333,South Rogerbury,LV,37471
982,982,2986 Hancock Forge,Harrisonfort,CZ,63007
983,983,900 Erin Summit,Ballardfort,US,29039
984,984,87662 Clayton Rue,Russelltown,EG,9732
985,985,010 Flores Glens Suite 511,Edwardsmouth,ME,12462
986,986,7033 Shari Rue,Hughesfort,AR,20404
987,987,40906 Alexis Vista Suite 502,Jeffreystad,PS,81165
988,988,18440 Parker Ranch Apt. 234,Port Cody,MY,85603
989,989,164 Richards Lodge,Pagemouth,NL,54380
990,990,139 Bautista Union,Rodriguezstad,KE,31376
991,991,69703 Cook Islands,New Laurachester,KR,40489
992,992,15722 Rhodes Gardens Apt. 058,West Charles,UZ,46663
993,993,95702 Lester Pass,Kimberlyport,AZ,29335
994,994,344 Christopher Port Suite 996,East Lydia,TH,34245
995,995,351 Webster Crescent Apt. 999,Sanchezbury,MA,35692
996,996,02929 Barry Vista,Amberside,TO,3237
997,997,732 Middleton Oval,East Brittneyland,ET,66407
998,998,7556 Cruz Squares,North Lisa,JO,91820
999,999,292 Herbert Inlet Apt. 524,West Jonathanside,KP,40715
